lexemes_read,unique_lexemes_read,most_recent_unique_lexeme,log_lexemes_read,log_unique_lexemes_read,english_translation
1,1,chapter,0.0,0.0,chapter
11,10,man,2.3978952727983707,2.302585092994046,man
21,17,want,3.044522437723423,2.833213344056216,want
31,25,view,3.4339872044851463,3.218875824868201,view
41,30,enter,3.713572066704308,3.4011973816621555,enter
51,36,mind,3.9318256327243257,3.58351893845611,mind
61,41,as,4.110873864173311,3.713572066704308,as
71,48,my,4.262679877041316,3.871201010907891,my
81,56,have,4.394449154672439,4.02535169073515,have
91,63,last,4.51085950651685,4.143134726391533,last
101,67,return,4.61512051684126,4.204692619390966,return
111,74,and,4.709530201312334,4.30406509320417,and
121,81,answer,4.795790545596741,4.394449154672439,answer
131,85,take,4.875197323201151,4.442651256490317,take
141,87,impatiently,4.948759890378168,4.465908118654584,impatiently
151,89,invitation,5.017279836814924,4.48863636973214,invitation
161,91,why,5.081404364984463,4.51085950651685,why
171,94,large,5.14166355650266,4.543294782270004,large
181,99,down,5.198497031265826,4.59511985013459,down
191,103,place,5.25227342804663,4.634728988229636,place
201,107,agree,5.303304908059076,4.672828834461906,agree
211,109,immediately,5.351858133476067,4.691347882229144,immediately
221,112,servant,5.3981627015177525,4.718498871295094,servant
231,117,what,5.442417710521793,4.762173934797756,what
241,121,oh,5.484796933490655,4.795790545596741,oh
251,122,sure,5.525452939131784,4.804021044733257,sure
261,125,thing,5.564520407322694,4.8283137373023015,thing
271,132,they,5.602118820879701,4.882801922586371,they
281,132,they,5.638354669333745,4.882801922586371,they
291,134,think,5.673323267171493,4.897839799950911,think
301,136,design,5.707110264748875,4.912654885736052,design
311,139,talk,5.739792912179234,4.934473933130692,talk
321,143,love,5.771441123130016,4.962844630259907,love
331,145,visit,5.802118375377063,4.976733742420574,visit
341,147,occasion,5.831882477283517,4.990432586778736,occasion
351,149,send,5.860786223465865,5.003946305945459,send
361,154,still,5.8888779583328805,5.0369526024136295,still
371,156,any,5.916202062607435,5.049856007249537,any
381,159,party,5.942799375126701,5.068904202220232,party
391,162,share,5.968707559985366,5.087596335232384,share
401,165,anything,5.993961427306569,5.10594547390058,anything
411,171,up,6.018593214496234,5.14166355650266,up
421,177,own,6.042632833682381,5.176149732573829,own
431,179,often,6.066108090103747,5.187385805840755,often
441,180,indeed,6.089044875446846,5.19295685089021,indeed
451,181,into,6.111467339502679,5.198497031265826,into
461,185,assure,6.133398042996649,5.220355825078324,assure
471,190,would,6.154858094016418,5.247024072160486,would
481,193,lucas,6.175867270105761,5.262690188904886,lucas
491,197,general,6.19644412779452,5.2832037287379885,general
501,198,newcomer,6.2166061010848646,5.288267030694535,newcomer
511,200,we,6.236369590203704,5.298317366548036,we
521,203,surely,6.255750041753367,5.313205979041787,surely
531,205,glad,6.274762021241939,5.3230099791384085,glad
541,207,line,6.293419278846481,5.332718793265369,line
551,210,marrying,6.311734809152915,5.3471075307174685,marrying
561,214,throw,6.329720905522696,5.365976015021851,throw
571,217,desire,6.3473892096560105,5.37989735354046,desire
581,217,desire,6.364750756851911,5.37989735354046,desire
591,218,bit,6.3818160174060985,5.384495062789089,bit
601,221,nor,6.398594934535208,5.3981627015177525,nor
611,224,always,6.415096959171596,5.41164605185504,always
621,227,recommend,6.431331081933479,5.424950017481403,recommend
631,229,ignorant,6.447305862541213,5.43372200355424,ignorant
641,231,quickness,6.46302945692067,5.442417710521793,quickness
651,233,abuse,6.478509642208569,5.4510384535657,abuse
661,237,vex,6.493753839851686,5.468060141135132,vex
671,240,nerve,6.508769136971682,5.480638923341991,nerve
681,243,respect,6.523562306149512,5.493061443340548,respect
691,245,friend,6.53813982376767,5.501258210544727,friend
701,249,least,6.55250788703459,5.517452896464707,least
711,251,suffer,6.566672429803241,5.525452939131784,suffer
721,254,live,6.580639137284949,5.537334267018537,live
731,255,many,6.594413459749778,5.541263545158426,many
741,257,should,6.608000625296087,5.54907608489522,should
751,260,upon,6.621405651764134,5.560681631015528,upon
761,261,there,6.634633357861686,5.564520407322694,there
771,264,quick,6.647688373563329,5.575949103146316,quick
781,270,experience,6.660575149839686,5.598421958998375,experience
791,272,understand,6.673297967767654,5.605802066295998,understand
801,276,develop,6.68586094706836,5.62040086571715,develop
811,280,uncertain,6.698268054115413,5.634789603169249,uncertain
821,285,nervous,6.710523109452428,5.652489180268651,nervous
831,287,life,6.7226297948554485,5.659482215759621,life
841,290,news,6.734591659972948,5.66988092298052,news
851,294,wait,6.746412128573375,5.683579767338681,wait
861,295,intend,6.7580945044277305,5.68697535633982,intend
871,295,intend,6.769641976852503,5.68697535633982,intend
881,299,pay,6.78105762593618,5.700443573390687,pay
891,302,disclose,6.792344427470809,5.71042701737487,disclose
901,307,trim,6.803505257608338,5.726847747587197,trim
911,310,address,6.814542897259958,5.736572297479192,address
921,310,address,6.825460036255307,5.736572297479192,address
931,311,mother,6.836259277277067,5.739792912179234,mother
941,313,forget,6.846943139585379,5.746203190540153,forget
951,317,meet,6.85751406254539,5.75890177387728,meet
961,320,introduce,6.8679744089702925,5.768320995793772,introduce
971,321,believe,6.878326468291325,5.771441123130016,believe
981,322,niece,6.888572459565364,5.7745515455444085,niece
991,325,opinion,6.898714534329988,5.783825182329737,opinion
1001,325,opinion,6.90875477931522,5.783825182329737,opinion
1011,326,find,6.918695219020472,5.786897381366708,find
1021,328,deign,6.928537818164665,5.793013608384144,deign
1031,332,scold,6.93828448401696,5.805134968916488,scold
1041,338,sake,6.947937068614969,5.823045895483019,sake
1051,339,tear,6.957497370876951,5.82600010738045,tear
1061,341,discretion,6.966967138613983,5.831882477283517,discretion
1071,344,ill,6.976348070447749,5.840641657373398,ill
1081,346,fretfully,6.985641817639208,5.846438775057725,fretfully
1091,350,aye,6.994849985833071,5.857933154483459,aye
1101,350,aye,7.00397413672268,5.857933154483459,aye
1111,351,back,7.01301578963963,5.860786223465865,back
1121,351,back,7.02197642307216,5.860786223465865,back
1131,351,back,7.030857476116121,5.860786223465865,back
1141,352,advantage,7.039660349862076,5.863631175598097,advantage
1151,353,acquaint,7.048386408721883,5.8664680569332965,acquaint
1161,355,teasing,7.057036981697891,5.872117789475416,teasing
1171,358,acquaintance,7.065613363597717,5.8805329864007,acquaintance
1181,359,really,7.074116816197362,5.883322388488279,really
1191,359,really,7.0825485693553,5.883322388488279,really
1201,362,else,7.090909822079984,5.891644211825772,else
1211,364,chance,7.099201743553092,5.8971538676367405,chance
1221,367,decline,7.107425474110705,5.905361848054571,decline
1231,368,office,7.115582126184454,5.908082938168931,office
1241,369,stare,7.123672785204607,5.910796644040527,stare
1251,372,exclamation,7.131698510466912,5.918893854273146,exclamation
1261,374,introduction,7.13966033596492,5.924255797414532,introduction
1271,376,lay,7.147559271189454,5.929589143389895,lay
1281,378,mary,7.155396301896734,5.934894195619588,mary
1291,380,reflection,7.1631723908466425,5.940171252720432,reflection
1301,385,wish,7.170888478512505,5.953243334287785,wish
1311,387,while,7.1785454837637,5.958424693029782,while
1321,390,continue,7.186144304522325,5.966146739123692,continue
1331,391,sick,7.193685818395112,5.968707559985366,sick
1341,392,sorry,7.201170883281678,5.971261839790462,sorry
1351,392,sorry,7.208600337960199,5.971261839790462,sorry
1361,393,morning,7.215975002651466,5.973809611869261,morning
1371,395,unlucky,7.223295679562314,5.978885764901122,unlucky
1381,397,escape,7.2305631534092925,5.983936280687191,escape
1391,398,astonishment,7.237778191923443,5.986452005284438,astonishment
1401,400,rest,7.244941546337007,5.991464547107982,rest
1411,402,joy,7.252053951852814,5.996452088619021,joy
1421,404,expect,7.259116128097101,6.001414877961151,expect
1431,404,expect,7.266128779556451,6.001414877961151,expect
1441,405,persuade,7.273092595999522,6.003887067106539,persuade
1451,406,too,7.280008252884188,6.0063531596017325,too
1461,408,pleased,7.2868764117507,6.0112671744041615,pleased
1471,409,joke,7.293697720601438,6.013715156042802,joke
1481,410,never,7.300472814267799,6.016157159698354,never
1491,410,never,7.307202314764738,6.016157159698354,never
1501,410,never,7.313886831633462,6.016157159698354,never
1511,415,rapture,7.32052696227274,6.028278520230698,rapture
1521,416,excellent,7.327123292259293,6.030685260261263,excellent
1531,418,shut,7.333676395657684,6.035481432524756,shut
1541,420,amend,7.340186835320115,6.040254711277414,amend
1551,422,matter,7.346655163176539,6.045005314036012,matter
1561,423,pleasant,7.353081920515432,6.0473721790462776,pleasant
1571,425,every,7.359467638255621,6.052089168924417,every
1581,425,every,7.365812837209472,6.052089168924417,every
1591,425,every,7.372118028337787,6.052089168924417,every
1601,426,dance,7.378383712996714,6.054439346269371,dance
1611,428,afraid,7.384610383176974,6.059123195581797,afraid
1621,430,tall,7.390798521735676,6.063785208687608,tall
1631,432,conjecture,7.396948602621014,6.068425588244111,conjecture
1641,434,ask,7.403061091090091,6.073044534100405,ask
1651,435,dinner,7.409136443920128,6.075346031088684,dinner
1661,437,could,7.415175109613295,6.07993319509559,could
1671,442,satisfactory,7.421177528595393,6.091309882077698,satisfactory
1681,445,various,7.427144133408616,6.09807428216624,various
1691,451,surmise,7.43307534889858,6.111467339502679,surmise
1701,453,skill,7.438971592395862,6.115892125483034,skill
1711,458,neighbour,7.444833273892193,6.126869184114185,neighbour
1721,461,favourable,7.450660796211539,6.133398042996649,favourable
1731,462,wonderfully,7.456454555176209,6.135564891081739,wonderfully
1741,466,whole,7.462214939768189,6.144185634125646,whole
1751,467,nothing,7.467942332285852,6.1463292576688975,nothing
1761,470,dancing,7.473637108496206,6.152732694704104,dancing
1771,474,lively,7.479299637782834,6.161207321695077,lively
1781,476,entertain,7.484930283289661,6.16541785423142,entertain
1791,477,happily,7.490529402060711,6.1675164908883415,happily
1801,477,happily,7.496097345175956,6.1675164908883415,happily
1811,478,equally,7.501634457883413,6.169610732491456,equally
1821,478,equally,7.507141079727608,6.169610732491456,equally
1831,481,library,7.5126175446745105,6.175867270105761,library
1841,483,sight,7.518064181233078,6.180016653652572,sight
1851,484,whose,7.523481312573497,6.182084906716632,whose
1861,484,whose,7.528869256642251,6.182084906716632,whose
1871,487,ascertain,7.534228326274089,6.18826412308259,ascertain
1881,492,coat,7.53955882930103,6.198478716492308,coat
1891,495,horse,7.544861068658458,6.20455776256869,horse
1901,499,plan,7.550135342488429,6.212606095751519,plan
1911,502,housekeeping,7.555381944240273,6.218600119691729,housekeeping
1921,504,defer,7.560601162768557,6.222576268071369,defer
1931,508,consequently,7.565793282428515,6.230481447578482,consequently
1941,509,etc,7.57095858316901,6.2324480165505225,etc
1951,511,imagine,7.576097340623111,6.236369590203704,imagine
1961,512,arrival,7.581209826196346,6.238324625039508,arrival
1971,514,fear,7.58629630715272,6.2422232654551655,fear
1981,516,another,7.591357046698551,6.246106765481563,another
1991,516,another,7.596392304064196,6.246106765481563,another
2001,518,start,7.601402334583733,6.249975242259483,start
2011,519,london,7.606387389772652,6.251903883165888,london
2021,519,london,7.611347717403621,6.251903883165888,london
2031,521,gentleman,7.616283561580385,6.255750041753367,gentleman
2041,522,grieve,7.621195162809845,6.257667587882639,grieve
2051,524,comfort,7.62608275807238,6.261491684321042,comfort
2061,526,instead,7.630946580890459,6.26530121273771,instead
2071,527,cousin,7.635786861395585,6.267200548541362,cousin
2081,528,consist,7.640603826393634,6.269096283706261,consist
2091,529,altogether,7.645397699428633,6.270988431858299,altogether
2101,531,look,7.650168700845001,6.274762021241939,look
2111,535,unaffected,7.65491704784832,6.282266746896006,unaffected
2121,536,air,7.659642954564682,6.284134161070802,air
2131,541,hurst,7.664346632098617,6.293419278846481,hurst
2141,542,darcy,7.669028288589683,6.295266001439646,darcy
2151,544,person,7.67368812926773,6.298949246855942,person
2161,547,mien,7.678326356506885,6.304448802421981,mien
2171,550,entrance,7.682943169878292,6.309918278226516,entrance
2181,552,figure,7.687538766201629,6.313548046277095,figure
2191,553,handsomer,7.692113339595466,6.315358001522335,handsomer
2201,553,handsomer,7.696667081526462,6.315358001522335,handsomer
2211,554,admiration,7.701200180857446,6.317164686747284,admiration
2221,558,popularity,7.7057128238944275,6.324358962381311,popularity
2231,561,above,7.710205194432532,6.329720905522696,above
2241,562,company,7.714677473800927,6.331501849893691,company
2251,565,save,7.719129840906732,6.336825731146441,save
2261,570,compare,7.72356247227797,6.345636360828596,compare
2271,571,himself,7.7279755421055585,6.3473892096560105,himself
2281,573,people,7.732369222284388,6.35088571671474,people
2291,575,angry,7.736743682453495,6.354370040797351,angry
2301,576,close,7.741099090035366,6.356107660695892,close
2311,578,quality,7.745435610274381,6.359573868672378,quality
2321,580,between,7.749753406274437,6.363028103540465,between
2331,582,miss,7.754052639035757,6.366470447731438,miss
2341,582,miss,7.75833346749091,6.366470447731438,miss
2351,584,occasionally,7.762596048540069,6.369900982828227,occasionally
2361,584,occasionally,7.766840537085513,6.369900982828227,occasionally
2371,585,world,7.771067086065406,6.371611847231857,world
2381,588,amongst,7.7752758464868625,6.376726947898627,amongst
2391,591,dislike,7.779466967458324,6.3818160174060985,dislike
2401,595,resentment,7.783640596221253,6.38856140554563,resentment
2411,597,slight,7.787796878181171,6.391917113392602,slight
2421,598,scarcity,7.791935956938058,6.393590753950631,scarcity
2431,599,during,7.796057974316123,6.395261598115449,during
2441,601,overhear,7.80016307039296,6.398594934535208,overhear
2451,602,conversation,7.804251383528112,6.400257445308821,conversation
2461,603,press,7.808323050391055,6.401917196727186,press
2471,604,join,7.81237820598861,6.403574197934815,join
2481,606,yourself,7.816416983691801,6.406879986069314,yourself
2491,607,stupid,7.820439515262181,6.408528791059498,stupid
2501,609,unless,7.824445930877619,6.411818267709897,unless
2511,611,partner,7.828436359157585,6.415096959171596,partner
2521,612,insupportable,7.83241092718792,6.416732282512326,insupportable
2531,612,insupportable,7.836369760545124,6.416732282512326,insupportable
2541,614,punishment,7.840312983320164,6.419994928147142,punishment
2551,615,fastidious,7.844240718141811,6.421622267806518,fastidious
2561,616,kingdom,7.848153086199526,6.423246963533519,kingdom
2571,616,kingdom,7.852050207265889,6.423246963533519,kingdom
2581,617,several,7.855932199718614,6.424869023905388,several
2591,619,pretty,7.85979918056211,6.428105272684596,pretty
2601,619,pretty,7.8636512654486515,6.428105272684596,pretty
2611,619,pretty,7.867488568699128,6.428105272684596,pretty
2621,622,beheld,7.8713112033234065,6.432940092739179,beheld
2631,623,behind,7.875119281040293,6.434546518787453,behind
2641,623,behind,7.878912912297133,6.434546518787453,behind
2651,623,behind,7.8826922062890254,6.434546518787453,behind
2661,625,moment,7.886457270977689,6.437751649736401,moment
2671,629,coldly,7.890208213109961,6.444131256700441,coldly
2681,631,tempt,7.893945138235959,6.447305862541213,tempt
2691,632,present,7.897668150726906,6.448889394146858,present
2701,633,consequence,7.901377353792616,6.450470422144176,consequence
2711,634,enjoy,7.905072849498666,6.452048954437226,enjoy
2721,636,waste,7.908754738783246,6.455198563340122,waste
2731,638,off,7.912423121473705,6.45833828334479,off
2741,640,cordial,7.916078096302786,6.461468176353717,cordial
2751,642,spirit,7.919719760924575,6.464588303689961,spirit
2761,644,disposition,7.923348211930154,6.467698726104354,disposition
2771,647,pleasantly,7.926963544862978,6.472346294500901,pleasantly
2781,647,pleasantly,7.930565854233965,6.472346294500901,pleasantly
2791,648,admire,7.934155233536322,6.473890696352274,admire
2801,650,distinguish,7.937731775260109,6.476972362889683,distinguish
2811,651,gratify,7.941295570906532,6.478509642208569,gratify
2821,653,feel,7.944846711001996,6.481577129276431,feel
2831,654,pleasure,7.9483852851118995,6.483107351457199,pleasure
2841,655,accomplished,7.951911381854188,6.484635235635252,accomplished
2851,656,catherine,7.955425088912672,6.486160788944089,catherine
2861,659,learn,7.95892649305011,6.490723534502507,learn
2871,660,care,7.962415680121064,6.492239835020471,care
2881,663,where,7.965892735084528,6.496774990185863,where
2891,664,inhabitant,7.969357742016346,6.498282149476434,inhabitant
2901,665,regardless,7.972810784121404,6.499787040655854,regardless
2911,665,regardless,7.976251943745623,6.499787040655854,regardless
2921,668,event,7.979681302387741,6.504288173536645,event
2931,672,rather,7.983098940710892,6.51025834052315,rather
2941,673,stranger,7.9865049385539955,6.511745329644728,stranger
2951,674,disappoint,7.989899374942939,6.513230110912307,disappoint
2961,675,different,7.993282328101591,6.51471269087253,different
2971,675,different,7.996653875462607,6.51471269087253,different
2981,675,different,8.000014093678072,6.51471269087253,different
2991,675,different,8.003363058629947,6.51471269087253,different
3001,675,different,8.006700845440367,6.51471269087253,different
3011,675,different,8.010027528481734,6.51471269087253,different
3021,675,different,8.013343181386672,6.51471269087253,different
3031,675,different,8.016647877057803,6.51471269087253,different
3041,675,different,8.019941687677365,6.51471269087253,different
3051,676,vexed,8.02322468471667,6.516193076042964,vexed
3061,676,vexed,8.026496938945412,6.516193076042964,vexed
3071,678,seem,8.029758520440822,6.519147287940395,seem
3081,679,strike,8.033009498596668,6.520621127558696,strike
3091,681,got,8.036249942132116,6.523562306149512,got
3101,681,got,8.03947991910045,6.523562306149512,got
3111,683,maria,8.042699496897637,6.52649485957079,maria
3121,684,boulanger,8.045908742270779,6.52795791762255,boulanger
3131,684,boulanger,8.049107721326406,6.52795791762255,boulanger
3141,684,boulanger,8.052296499538647,6.52795791762255,boulanger
3151,685,god,8.055475141757274,6.529418838262226,god
3161,687,ankle,8.058643712215618,6.532334292222349,ankle
3171,687,ankle,8.061802274538348,6.532334292222349,ankle
3181,688,excessively,8.064950891749143,6.533788837933344,excessively
