lexemes_read,unique_lexemes_read,most_recent_unique_lexeme,log_lexemes_read,log_unique_lexemes_read,english_translation
1,1,premier,0.0,0.0,first
11,10,quand,2.3978952727983707,2.302585092994046,when
21,19,et,3.044522437723423,2.9444389791664403,and
31,27,dormir,3.4339872044851463,3.295836866004329,to sleep
41,35,son,3.713572066704308,3.555348061489413,his
51,40,puis,3.9318256327243257,3.688879454113936,then
61,46,dire,4.110873864173311,3.828641396489095,to say
71,54,recommande,4.262679877041316,3.9889840465642745,recommended
81,58,méritoire,4.394449154672439,4.060443010546419,meritorious
91,62,âge,4.51085950651685,4.127134385045092,age
101,67,on,4.61512051684126,4.204692619390966,we
111,71,gars,4.709530201312334,4.262679877041316,guys
121,78,haut,4.795790545596741,4.356708826689592,high
131,82,avoir,4.875197323201151,4.406719247264253,to have
141,89,village,4.948759890378168,4.48863636973214,town
151,95,ne,5.017279836814924,4.553876891600541,born
161,101,drap,5.081404364984463,4.61512051684126,sheet
171,108,voir,5.14166355650266,4.68213122712422,see
181,114,habituer,5.198497031265826,4.736198448394496,accustom
191,120,pantalon,5.25227342804663,4.787491742782046,trousers
201,125,chausser,5.303304908059076,4.8283137373023015,shoe
211,131,récitation,5.351858133476067,4.875197323201151,recitation
221,135,attentif,5.3981627015177525,4.90527477843843,attentive
231,142,ni,5.442417710521793,4.955827057601261,or
241,146,cloche,5.484796933490655,4.983606621708336,Bell
251,149,avertir,5.525452939131784,5.003946305945459,to warn
261,153,rang,5.564520407322694,5.030437921392435,rank
271,155,jeter,5.602118820879701,5.043425116919247,to throw
281,161,main,5.638354669333745,5.081404364984463,hand
291,165,seuil,5.673323267171493,5.10594547390058,threshold
301,171,contre,5.707110264748875,5.14166355650266,versus
311,176,là,5.739792912179234,5.170483995038151,the
321,179,remarquer,5.771441123130016,5.187385805840755,note
331,182,y,5.802118375377063,5.204006687076795,Y
341,187,encore,5.831882477283517,5.231108616854587,Again
351,188,genou,5.860786223465865,5.236441962829949,knee
361,193,élément,5.8888779583328805,5.262690188904886,element
371,198,rond,5.916202062607435,5.288267030694535,round
381,200,coton,5.942799375126701,5.298317366548036,cotton
391,206,muette,5.968707559985366,5.327876168789581,mute
401,211,ovoïde,5.993961427306569,5.351858133476067,ovoid
411,215,circulaire,6.018593214496234,5.3706380281276624,circular
421,219,losange,6.042632833682381,5.389071729816501,diamond
431,222,venir,6.066108090103747,5.402677381872279,to come
441,227,couvert,6.089044875446846,5.424950017481403,covered
451,231,pendre,6.111467339502679,5.442417710521793,hang
461,239,fils,6.133398042996649,5.476463551931511,son
471,243,visière,6.154858094016418,5.493061443340548,visor
481,245,professeur,6.175867270105761,5.501258210544727,professor
491,247,rire,6.19644412779452,5.5093883366279774,to laugh
501,250,voisin,6.2166061010848646,5.521460917862246,neighbor
511,254,débarrasser,6.236369590203704,5.537334267018537,get rid of
521,257,casque,6.255750041753367,5.54907608489522,helmet
531,261,écolier,6.274762021241939,5.564520407322694,schoolboy
541,262,décontenancer,6.293419278846481,5.568344503761097,disconcert
551,265,garder,6.311734809152915,5.579729825986222,keep
561,266,tête,6.329720905522696,5.583496308781699,head
571,268,posa,6.3473892096560105,5.5909869805108565,posed
581,270,nom,6.364750756851911,5.598421958998375,name
591,275,répéter,6.3818160174060985,5.616771097666572,repeat
601,278,entendre,6.398594934535208,5.627621113690637,hear
611,280,cria,6.415096959171596,5.634789603169249,shred
621,285,ouvrir,6.431331081933479,5.652489180268651,to open
631,289,poumon,6.447305862541213,5.666426688112432,lung
641,293,vacarme,6.46302945692067,5.680172609017068,din
651,298,éclat,6.478509642208569,5.697093486505405,shine
661,302,trépigner,6.493753839851686,5.71042701737487,rack
671,306,calmer,6.508769136971682,5.723585101952381,calm
681,308,ligne,6.523562306149512,5.730099782973574,line
691,311,pétard,6.53813982376767,5.739792912179234,petard
701,317,pensum,6.55250788703459,5.75890177387728,pensum
711,319,rétablir,6.566672429803241,5.765191102784844,to re-establish
721,322,charle,6.580639137284949,5.7745515455444085,charle
731,327,commanda,6.594413459749778,5.7899601708972535,command
741,331,asseoir,6.608000625296087,5.802118375377063,Sit
751,334,chaire,6.621405651764134,5.811140992976701,chair
761,338,hésita,6.634633357861686,5.823045895483019,hesitated
771,344,timidement,6.647688373563329,5.840641657373398,timidly
781,349,cent,6.660575149839686,5.855071922202427,hundred
791,351,furieux,6.673297967767654,5.860786223465865,mad
801,355,bourrasque,6.68586094706836,5.872117789475416,gusty
811,359,essuyer,6.698268054115413,5.883322388488279,to wipe
821,360,mouchoir,6.710523109452428,5.886104031450156,handkerchief
831,364,copier,6.7226297948554485,5.8971538676367405,to copy
841,368,douce,6.734591659972948,5.908082938168931,gentle
851,369,eh,6.746412128573375,5.910796644040527,eh
861,372,calme,6.7580945044277305,5.918893854273146,calm
871,376,pendant,6.769641976852503,5.929589143389895,during
881,379,eût,6.78105762593618,5.937536205082426,meant
891,384,bec,6.792344427470809,5.950642552587727,beak
901,388,figure,6.803505257608338,5.961005339623274,figure
911,390,immobile,6.814542897259958,5.966146739123692,motionless
921,392,soir,6.825460036255307,5.971261839790462,evening
931,393,manche,6.836259277277067,5.973809611869261,handle
941,397,travailler,6.846943139585379,5.983936280687191,work
951,399,dictionnaire,6.85751406254539,5.988961416889864,dictionary
961,403,doute,6.8679744089702925,5.998936561946683,doubt
971,407,dut,6.878326468291325,6.008813185442595,dut
981,410,car,6.888572459565364,6.016157159698354,because
991,414,élégance,6.898714534329988,6.025865973825314,elegance
1001,416,curé,6.90875477931522,6.030685260261263,priest
1011,418,économie,6.918695219020472,6.035481432524756,economy
1021,422,possible,6.928537818164665,6.045005314036012,possible
1031,427,compromis,6.93828448401696,6.056784013228625,compromise
1041,431,quitter,6.947937068614969,6.066108090103747,leave
1051,435,personnel,6.957497370876951,6.075346031088684,staff
1061,439,offrir,6.966967138613983,6.084499413075172,to offer
1071,444,amoureux,6.976348070447749,6.095824562432225,lover
1081,447,éperon,6.985641817639208,6.102558594613569,spur
1091,452,toujours,6.994849985833071,6.113682179832232,always
1101,456,aspect,7.00397413672268,6.1224928095143865,aspect
1111,461,voyageur,7.01301578963963,6.133398042996649,traveler
1121,465,fortune,7.02197642307216,6.142037405587356,fortune
1131,468,fumer,7.030857476116121,6.148468295917647,to smoke
1141,472,après,7.039660349862076,6.156978985585555,after
1151,477,laissa,7.048386408721883,6.1675164908883415,allowed
1161,477,laissa,7.057036981697891,6.1675164908883415,allowed
1171,481,retirer,7.065613363597717,6.175867270105761,to withdraw
1181,483,valoir,7.074116816197362,6.180016653652572,to be worth
1191,484,culture,7.0825485693553,6.182084906716632,culture
1201,488,lieu,7.090909822079984,6.190315405853148,place
1211,492,bouteille,7.099201743553092,6.198478716492308,bottle
1221,496,volaille,7.107425474110705,6.206575926724928,poultry
1231,499,chasse,7.115582126184454,6.212606095751519,hunt
1241,503,poindre,7.123672785204607,6.220590170099739,dawn
1251,506,spéculation,7.131698510466912,6.226536669287466,speculation
1261,510,louer,7.13966033596492,6.234410725718371,to rent
1271,513,cau,7.147559271189454,6.240275845170769,causa
1281,518,ferme,7.155396301896734,6.249975242259483,closed
1291,523,accuser,7.1631723908466425,6.259581464064923,to accuse
1301,527,enfermer,7.170888478512505,6.267200548541362,lock up
1311,528,dégoûté,7.1785454837637,6.269096283706261,disgusted
1321,531,fou,7.186144304522325,6.274762021241939,crazy
