lexemes_read,unique_lexemes_read,most_recent_unique_lexeme,log_lexemes_read,log_unique_lexemes_read,english_translation
1,1,σημείωση,0.0,0.0,note
11,11,ο,2.3978952727983707,2.3978952727983707,The
21,20,μουσικότητα,3.044522437723423,2.995732273553991,musical
31,28,αριθμοί,3.4339872044851463,3.332204510175204,numbers
41,36,πχ,3.713572066704308,3.58351893845611,e.g
51,45,προφανώς,3.9318256327243257,3.80666248977032,obviously
61,50,ν,4.110873864173311,3.912023005428146,o
71,55,μεταγενέστερη,4.262679877041316,4.007333185232471,subsequent
81,63,α,4.394449154672439,4.143134726391533,a
91,70,αυτό,4.51085950651685,4.248495242049359,this
101,78,πρωτότυπο,4.61512051684126,4.356708826689592,prototype
111,82,πάλλης,4.709530201312334,4.406719247264253,pallis
121,89,ψυχρή,4.795790545596741,4.48863636973214,cold
131,94,έλληνες,4.875197323201151,4.543294782270004,Greeks
141,98,στάθηκε,4.948759890378168,4.584967478670572,stood
151,104,ακόμα,5.017279836814924,4.6443908991413725,still
161,109,θεωρία,5.081404364984463,4.691347882229144,theory
171,115,σκηνός,5.14166355650266,4.74493212836325,scene
181,124,υστερότερος,5.198497031265826,4.820281565605037,sesterter
191,131,παλλης,5.25227342804663,4.875197323201151,Pallis
201,137,liverpool,5.303304908059076,4.919980925828125,liverpool
211,142,δασκαλος,5.351858133476067,4.955827057601261,teacher
221,148,εστιν,5.3981627015177525,4.997212273764115,cement
231,153,αχιλέας,5.442417710521793,5.030437921392435,Achilles
241,160,στέλνω,5.484796933490655,5.075173815233827,I send
251,167,κορμί,5.525452939131784,5.117993812416755,trim
261,172,έτσι,5.564520407322694,5.147494476813453,so
271,179,πιάστηκε,5.602118820879701,5.187385805840755,caught
281,186,χώρομαι,5.638354669333745,5.225746673713202,shroud
291,191,θεός,5.673323267171493,5.25227342804663,god
301,194,λητός,5.707110264748875,5.267858159063328,lit
311,200,στρατό,5.739792912179234,5.298317366548036,military
321,207,χρύσος,5.771441123130016,5.332718793265369,gold
331,212,δείξω,5.802118375377063,5.356586274672012,show
341,217,λευτερώσω,5.831882477283517,5.37989735354046,levitate
351,222,ξαγοράς,5.860786223465865,5.402677381872279,castener
361,227,ραβδί,5.8888779583328805,5.424950017481403,stick
371,233,                ,5.916202062607435,5.4510384535657,
381,234,πρωτάτας,5.942799375126701,5.455321115357702,protas
391,240,αργίτας,5.968707559985366,5.480638923341991,clay
401,246,πριάμος,5.993961427306569,5.5053315359323625,Priam
411,251,όμως,6.018593214496234,5.525452939131784,Nevertheless
421,255,               ,6.042632833682381,5.541263545158426,
431,256,βοηθάω,6.066108090103747,5.545177444479562,help
441,260,αργίτες,6.089044875446846,5.560681631015528,clay
451,263,βουλής,6.111467339502679,5.572154032177765,parliament
461,268,άσκημα,6.133398042996649,5.5909869805108565,exercise
471,273,μη,6.154858094016418,5.60947179518496,non
481,280,αργοστέκεσαι,6.175867270105761,5.634789603169249,Absent
491,284,ούτε,6.19644412779452,5.648974238161206,neither
501,287,όταν,6.2166061010848646,5.659482215759621,when
511,292,σπιτικό,6.236369590203704,5.676753802268282,homemade
521,297,νύχτα,6.255750041753367,5.6937321388027,night
531,302,θες,6.274762021241939,5.71042701737487,want
541,306,σκιάχτηκε,6.293419278846481,5.723585101952381,Shacked
551,310,αμμουδιά,6.311734809152915,5.736572297479192,sandy beach
561,315,κατάρα,6.329720905522696,5.752572638825633,curse
571,320,αργυροδόξαρε,6.3473892096560105,5.768320995793772,silvassar
581,325,βιος,6.364750756851911,5.783825182329737,Life
591,329,τένεδο,6.3818160174060985,5.796057750765372,tenth
601,334,όμορφης,6.398594934535208,5.811140992976701,beautiful
611,342,                      ,6.415096959171596,5.834810737062605,
621,347,πόθο,6.431331081933479,5.849324779946859,crave
631,352,πλερώσω,6.447305862541213,5.863631175598097,knack
641,356,απόλλος,6.46302945692067,5.87493073085203,gory
651,362,δοξάρι,6.478509642208569,5.891644211825772,bow
661,367,τινάχτηκε,6.493753839851686,5.905361848054571,It was shaken
