,word,frequency,known
0,de,38928.92,1
1,la,23633.92,1
2,et,20879.73,1
3,à,19209.05,1
4,le,18310.95,1
5,il,15832.09,1
6,être,15085.47,1
7,les,14662.3,1
8,ne,13841.89,1
9,un,13550.68,1
10,avoir,12800.81,1
11,l',12746.76,1
12,d',11876.35,1
13,je,10862.77,1
14,des,10624.93,1
15,une,9587.97,1
16,pas,8795.14,1
17,en,8732.57,1
18,dans,8296.08,1
19,qui,7923.24,1
20,elle,6991.49,1
21,du,6882.16,1
22,se,6587.77,1
23,pour,6198.24,1
24,s',5391.62,1
25,faire,5328.99,1
26,au,5322.5,1
27,sur,5320.47,1
28,plus,5014.53,1
29,on,4838.38,1
30,dire,4832.5,1
31,son,4696.15,1
32,mais,4463.72,1
33,me,4264.32,1
34,lui,4225.14,1
35,avec,4000.41,1
36,nous,3867.84,1
37,sa,3732.43,1
38,par,3727.09,1
39,vous,3507.16,1
40,comme,3429.32,1
41,que,3315.95,1
42,tout,3171.35,1
43,ses,3105.41,1
44,y,3086.76,1
45,ce,2958.58,1
46,aller,2854.93,1
47,ils,2809.53,1
48,pouvoir,2659.8,1
49,tu,2537.03,1
50,bien,2535.14,1
51,ça,2477.64,1
52,ou,2429.86,1
53,voir,2401.76,1
54,cette,2320.68,1
55,mon,2307.97,1
56,sans,2224.12,1
57,où,2068.11,1
58,savoir,2003.58,1
59,aux,1907.57,1
60,moi,1877.57,1
61,ma,1667.16,1
62,vouloir,1640.14,1
63,encore,1579.05,1
64,deux,1557.91,1
65,ces,1547.5,1
66,petit,1541.96,1
67,rien,1522.91,1
68,venir,1514.53,1
69,quand,1480.07,1
70,prendre,1466.42,1
71,homme,1398.85,1
72,aussi,1359.86,1
73,même,1358.65,1
74,jour,1341.76,1
75,devoir,1318.18,1
76,temps,1289.39,1
77,falloir,1250.41,1
78,grand,1244.66,1
79,oeil,1234.59,1
80,main,1229.39,1
81,passer,1165.27,1
82,fois,1140.0,1
83,non,1135.81,1
84,jamais,1122.97,1
85,très,1120.81,1
86,toujours,1093.78,1
87,là,1089.66,1
88,parler,1086.01,1
89,mettre,1083.72,1
90,chose,1057.64,1
91,alors,1033.78,1
92,sous,1032.7,1
93,peu,1023.38,1
94,mes,1023.11,1
95,regarder,997.91,1
96,femme,995.74,1
97,demander,984.46,1
98,trouver,972.5,1
99,dont,960.34,1
100,vers,956.15,1
101,suivre,949.12,1
102,croire,947.23,1
103,si,933.99,1
104,heure,924.05,1
105,tête,923.45,1
106,seul,915.27,1
107,donner,896.01,1
108,leurs,886.55,1
109,autre,870.14,1
110,penser,869.8,1
111,vie,853.31,1
112,laisser,851.55,1
113,coup,837.7,1
114,puis,836.42,1
115,entre,833.99,1
116,après,821.55,1
117,aimer,795.61,1
118,rester,793.78,1
119,trop,790.0,1
120,bon,789.66,1
121,t',779.93,1
122,te,774.32,1
123,mère,761.28,1
124,cela,741.82,1
125,monde,741.35,1
126,tenir,741.22,1
127,nuit,738.24,1
128,quelques,732.57,1
129,enfant,725.68,1
130,père,723.51,1
131,arriver,723.04,1
132,entendre,719.12,1
133,sentir,718.78,1
134,moins,718.18,1
135,attendre,706.69,1
136,déjà,702.23,1
137,peut-être,697.97,1
138,air,690.81,1
139,devant,690.34,1
140,moment,688.24,1
141,an,685.81,1
142,notre,680.68,1
143,chez,680.54,1
144,premier,672.57,1
145,ni,662.36,1
146,trois,660.34,1
147,oui,637.57,1
148,connaître,629.26,1
149,sortir,627.57,1
150,beau,620.07,1
151,porte,617.43,1
152,comprendre,614.8,1
153,voix,612.7,1
154,elles,605.14,1
155,fille,592.23,1
156,contre,591.15,1
157,nos,579.19,1
158,maison,575.34,1
159,avant,574.32,1
160,sembler,572.84,1
161,jeune,569.19,1
162,côté,566.49,1
163,visage,565.0,1
164,rue,562.97,1
165,soir,562.64,1
166,quelque,557.77,1
167,mot,553.78,1
168,depuis,542.64,1
169,devenir,533.51,1
170,vieux,512.91,1
171,eux,504.26,1
172,cet,497.5,1
173,maintenant,496.76,1
174,ouvrir,492.5,1
175,revenir,490.54,1
176,bras,487.97,1
177,pied,486.42,1
178,chaque,486.35,1
179,partir,485.68,1
180,ici,483.58,1
181,noir,482.23,1
182,corps,480.34,1
183,porter,474.93,1
184,ainsi,469.46,1
185,car,469.32,1
186,place,468.58,1
187,rendre,468.11,1
188,répondre,466.76,1
189,presque,465.54,1
190,appeler,465.34,1
191,arrêter,462.5,1
192,beaucoup,461.42,1
193,vivre,460.34,1
194,eau,459.86,1
195,terre,452.91,1
196,mort,452.7,1
197,loin,452.36,1
198,toi,450.34,1
199,pendant,450.14,1
200,chercher,448.99,1
201,paraître,448.11,1
202,donc,445.88,1
203,long,444.86,1
204,tomber,441.42,1
205,lever,440.74,1
206,enfin,440.27,1
207,tant,436.42,1
208,blanc,430.54,1
209,vrai,430.07,1
210,votre,427.91,1
211,leur,427.5,1
212,regard,423.18,1
213,commencer,421.89,1
214,assez,420.14,1
215,finir,417.97,1
216,retrouver,416.22,1
217,chambre,413.31,1
218,sûr,412.97,1
219,gens,409.39,1
220,poser,409.05,1
221,monter,404.59,1
222,amour,403.92,1
223,dernier,403.11,1
224,coeur,400.74,1
225,peine,399.53,1
226,entrer,398.38,1
227,mieux,398.38,1
228,bout,398.11,1
229,seulement,397.97,1
230,matin,396.76,1
231,dieu,396.49,1
232,asseoir,395.27,1
233,nom,395.0,1
234,mourir,391.08,1
235,tirer,383.24,1
236,quoi,380.07,1
237,table,379.8,1
238,perdre,377.36,1
239,tourner,377.09,1
240,fond,376.15,1
241,pourtant,375.68,1
242,année,375.54,1
243,autres,375.14,1
244,plein,370.41,1
245,autour,361.55,1
246,histoire,359.53,1
247,fait,355.54,1
248,guerre,354.59,1
249,ami,354.12,1
250,gros,353.45,1
251,ville,352.97,1
252,vite,351.89,1
253,doute,350.07,1
254,mal,349.46,1
255,derrière,349.39,1
256,ailleurs,346.35,1
257,force,344.73,1
258,tard,344.26,1
259,écrire,341.82,1
260,instant,340.2,1
261,reprendre,340.14,1
262,lit,338.18,1
263,jouer,337.23,1
264,jeter,336.82,1
265,longtemps,335.54,1
266,soleil,334.39,1
267,voilà,329.12,1
268,question,328.45,1
269,idée,328.45,1
270,parce que,327.43,1
271,marcher,325.61,1
272,silence,325.54,1
273,monsieur,324.86,1
274,lire,324.8,1
275,point,323.58,1
276,est-ce que,322.23,1
277,rire,320.54,1
278,part,320.41,1
279,celui,319.19,1
280,quitter,318.72,1
281,mur,317.77,1
282,fin,314.53,1
283,écouter,314.05,1
284,personne,312.16,1
285,peur,311.69,1
286,ton,310.47,1
287,ceux,309.86,1
288,raison,308.78,1
289,tour,308.72,1
290,sorte,307.16,1
291,ciel,305.2,1
292,mois,304.86,1
293,descendre,301.62,1
294,celle,299.46,1
295,bois,299.46,1
296,français,298.85,1
297,pourquoi,297.64,1
298,ah,297.16,1
299,essayer,296.69,1
300,nouveau,292.43,1
301,surtout,291.49,1
302,retourner,290.88,1
303,pousser,288.92,1
304,épaule,288.72,1
305,train,288.65,1
306,route,288.04,1
307,parfois,287.36,1
308,oublier,286.96,1
309,souvent,286.96,1
310,apprendre,286.69,1
311,livre,286.49,1
312,servir,286.22,1
313,près,285.41,1
314,bouche,283.45,1
315,voiture,283.11,1
316,continuer,282.77,1
317,quatre,282.64,1
318,bruit,281.49,1
319,plutôt,280.74,1
320,manger,280.61,1
321,fenêtre,280.2,1
322,rentrer,279.93,1
323,façon,277.3,1
324,montrer,276.55,1
325,pièce,276.35,1
326,suite,275.81,1
327,dès,275.07,1
