,word,frequency,known
2001,paisible,36.42,1
2002,combattre,36.35,1
2003,écriture,36.35,1
2004,futur,36.35,1
2005,pote,36.35,1
2006,perte,36.28,1
2007,chéri,36.28,1
2008,infirmier,36.28,1
2009,octobre,36.28,1
2010,brûlant,36.28,1
2011,consulter,36.22,1
2012,carrière,36.15,1
2013,chevalier,36.15,1
2014,mien,36.08,1
2015,écrouler,36.08,1
2016,approuver,36.08,1
2017,sien,36.08,1
2018,grand-chose,36.08,1
2019,instrument,36.08,1
2020,cuivre,36.08,1
2021,justifier,36.01,1
2022,gant,36.01,1
2023,agréable,36.01,1
2024,précaution,36.01,1
2025,grain,35.95,1
2026,réaliser,35.95,1
2027,méfier,35.95,1
2029,modèle,35.95,1
2032,soupir,35.95,1
2034,cruel,35.88,1
2035,velours,35.88,1
2036,fantôme,35.88,1
2038,électrique,35.81,1
2039,nerveux,35.81,1
2041,attentif,35.74,1
2042,haïr,35.68,1
2043,intelligent,35.68,1
2044,ordonner,35.68,1
2045,vallée,35.68,1
2046,soulier,35.68,1
2047,messe,35.68,1
2048,enthousiasme,35.61,1
2049,boulot,35.61,1
2050,fidèle,35.61,1
2051,visiteur,35.54,1
2052,soif,35.54,1
2053,paume,35.47,1
2054,fraîcheur,35.47,1
2055,toutefois,35.47,1
2056,bondir,35.41,1
2057,veine,35.41,1
2058,orage,35.41,1
2059,mensonge,35.41,1
2060,intervenir,35.34,1
2061,brusque,35.34,1
2063,pouce,35.34,1
2064,brutal,35.34,1
2065,digne,35.27,1
2066,instinct,35.27,1
2067,danse,35.27,1
2068,brouillard,35.2,1
2069,ceinture,35.2,1
2071,assemblée,35.14,1
2073,nul,35.07,1
2074,serviette,35.07,1
2075,cabine,35.07,1
2076,prolonger,35.0,1
2077,éclair,35.0,1
2078,destiner,35.0,1
2079,brave,35.0,1
2080,apaiser,35.0,1
2081,las,35.0,1
2082,plante,35.0,1
2083,conseiller,34.93,1
2085,tombe,34.86,1
2086,conséquence,34.86,1
2087,chocolat,34.86,1
2088,précisément,34.8,1
2089,moine,34.73,1
2092,fonder,34.66,1
2093,intime,34.66,1
2094,tissu,34.66,1
2095,trésor,34.66,1
2096,soupçonner,34.59,1
2097,cloche,34.59,1
2098,mouchoir,34.59,1
2099,profondément,34.59,1
2100,muscle,34.53,1
2101,écart,34.53,1
2102,moral,34.53,1
2104,bousculer,34.46,1
2105,supplier,34.46,1
2106,tarder,34.46,1
2107,acier,34.46,1
2108,border,34.46,1
2109,consentir,34.46,1
2110,absolu,34.39,1
2111,chuchoter,34.39,1
2112,débarquer,34.39,1
2113,formule,34.39,1
2114,soigneusement,34.39,1
2115,placard,34.39,1
2116,équipe,34.32,1
2117,longer,34.32,1
2118,formidable,34.32,1
2119,traduire,34.32,1
2120,canne,34.32,1
2122,cogner,34.26,1
2123,fuite,34.26,1
2124,aiguille,34.19,1
2125,repasser,34.19,1
