word,frequency
de,38928.92
la,23633.92
et,20879.73
à,19209.05
le,18310.95
il,15832.09
être,15085.47
les,14662.3
ne,13841.89
un,13550.68
avoir,12800.81
l',12746.76
d',11876.35
je,10862.77
des,10624.93
une,9587.97
pas,8795.14
en,8732.57
dans,8296.08
qui,7923.24
elle,6991.49
du,6882.16
se,6587.77
pour,6198.24
s',5391.62
faire,5328.99
au,5322.5
sur,5320.47
plus,5014.53
on,4838.38
dire,4832.5
son,4696.15
mais,4463.72
me,4264.32
lui,4225.14
avec,4000.41
nous,3867.84
sa,3732.43
par,3727.09
vous,3507.16
comme,3429.32
que,3315.95
tout,3171.35
ses,3105.41
y,3086.76
ce,2958.58
aller,2854.93
ils,2809.53
pouvoir,2659.8
tu,2537.03
bien,2535.14
ça,2477.64
ou,2429.86
voir,2401.76
cette,2320.68
mon,2307.97
sans,2224.12
où,2068.11
savoir,2003.58
aux,1907.57
moi,1877.57
ma,1667.16
vouloir,1640.14
encore,1579.05
deux,1557.91
ces,1547.5
petit,1541.96
rien,1522.91
venir,1514.53
quand,1480.07
prendre,1466.42
homme,1398.85
aussi,1359.86
même,1358.65
jour,1341.76
devoir,1318.18
temps,1289.39
falloir,1250.41
grand,1244.66
oeil,1234.59
main,1229.39
passer,1165.27
fois,1140.0
non,1135.81
jamais,1122.97
très,1120.81
toujours,1093.78
là,1089.66
parler,1086.01
mettre,1083.72
chose,1057.64
alors,1033.78
sous,1032.7
peu,1023.38
mes,1023.11
regarder,997.91
femme,995.74
demander,984.46
trouver,972.5
dont,960.34
vers,956.15
suivre,949.12
croire,947.23
si,933.99
heure,924.05
tête,923.45
seul,915.27
donner,896.01
leurs,886.55
autre,870.14
penser,869.8
vie,853.31
laisser,851.55
coup,837.7
puis,836.42
entre,833.99
après,821.55
aimer,795.61
rester,793.78
trop,790.0
bon,789.66
t',779.93
te,774.32
mère,761.28
cela,741.82
monde,741.35
tenir,741.22
nuit,738.24
quelques,732.57
enfant,725.68
père,723.51
arriver,723.04
entendre,719.12
sentir,718.78
moins,718.18
attendre,706.69
déjà,702.23
peut-être,697.97
air,690.81
devant,690.34
moment,688.24
an,685.81
notre,680.68
chez,680.54
premier,672.57
ni,662.36
trois,660.34
oui,637.57
connaître,629.26
sortir,627.57
beau,620.07
porte,617.43
comprendre,614.8
voix,612.7
elles,605.14
fille,592.23
contre,591.15
nos,579.19
maison,575.34
avant,574.32
sembler,572.84
jeune,569.19
côté,566.49
visage,565.0
rue,562.97
soir,562.64
quelque,557.77
mot,553.78
depuis,542.64
devenir,533.51
vieux,512.91
eux,504.26
cet,497.5
maintenant,496.76
ouvrir,492.5
revenir,490.54
bras,487.97
pied,486.42
chaque,486.35
partir,485.68
ici,483.58
noir,482.23
corps,480.34
porter,474.93
ainsi,469.46
car,469.32
place,468.58
rendre,468.11
répondre,466.76
presque,465.54
appeler,465.34
arrêter,462.5
beaucoup,461.42
vivre,460.34
eau,459.86
terre,452.91
mort,452.7
loin,452.36
toi,450.34
pendant,450.14
chercher,448.99
paraître,448.11
donc,445.88
long,444.86
tomber,441.42
lever,440.74
enfin,440.27
tant,436.42
blanc,430.54
vrai,430.07
votre,427.91
leur,427.5
regard,423.18
commencer,421.89
assez,420.14
finir,417.97
retrouver,416.22
chambre,413.31
sûr,412.97
gens,409.39
poser,409.05
monter,404.59
amour,403.92
dernier,403.11
coeur,400.74
peine,399.53
entrer,398.38
mieux,398.38
bout,398.11
seulement,397.97
matin,396.76
dieu,396.49
asseoir,395.27
nom,395.0
mourir,391.08
tirer,383.24
quoi,380.07
table,379.8
perdre,377.36
tourner,377.09
fond,376.15
pourtant,375.68
année,375.54
autres,375.14
plein,370.41
autour,361.55
histoire,359.53
fait,355.54
guerre,354.59
ami,354.12
gros,353.45
ville,352.97
vite,351.89
doute,350.07
mal,349.46
derrière,349.39
ailleurs,346.35
force,344.73
tard,344.26
écrire,341.82
instant,340.2
reprendre,340.14
lit,338.18
jouer,337.23
jeter,336.82
longtemps,335.54
soleil,334.39
voilà,329.12
question,328.45
idée,328.45
parce que,327.43
marcher,325.61
silence,325.54
monsieur,324.86
lire,324.8
point,323.58
est-ce que,322.23
rire,320.54
part,320.41
celui,319.19
quitter,318.72
mur,317.77
fin,314.53
écouter,314.05
personne,312.16
peur,311.69
ton,310.47
ceux,309.86
raison,308.78
tour,308.72
sorte,307.16
ciel,305.2
mois,304.86
descendre,301.62
celle,299.46
bois,299.46
français,298.85
pourquoi,297.64
ah,297.16
essayer,296.69
nouveau,292.43
surtout,291.49
retourner,290.88
pousser,288.92
épaule,288.72
train,288.65
route,288.04
parfois,287.36
oublier,286.96
souvent,286.96
apprendre,286.69
livre,286.49
servir,286.22
près,285.41
bouche,283.45
voiture,283.11
continuer,282.77
quatre,282.64
bruit,281.49
plutôt,280.74
manger,280.61
fenêtre,280.2
rentrer,279.93
façon,277.3
montrer,276.55
pièce,276.35
suite,275.81
dès,275.07
famille,274.39
boire,274.32
vraiment,274.32
lumière,274.26
rouge,273.24
geste,271.08
face,270.88
cheveu,270.68
lieu,267.57
besoin,266.62
quel,265.34
travail,263.45
courir,263.38
sourire,262.91
garçon,262.5
raconter,261.89
dormir,259.05
envie,258.11
mer,257.57
garder,257.5
doigt,256.15
milieu,256.08
lettre,256.01
affaire,253.38
ta,251.69
travers,247.64
fils,247.64
changer,246.49
quelle,244.39
pays,241.55
comment,241.35
imaginer,241.15
autant,240.41
crier,239.73
tous,238.72
général,236.89
feu,236.15
ordre,235.34
expliquer,233.92
plaisir,233.85
ombre,233.45
apercevoir,233.11
chemin,231.42
verre,230.07
glisser,229.32
reconnaître,229.19
bord,228.11
ajouter,224.66
recevoir,224.46
lèvre,222.03
jambe,220.95
cinq,220.61
vent,220.27
occuper,219.8
agir,219.73
tendre,218.38
état,218.18
sens,217.5
âge,217.43
cas,217.36
frère,216.35
esprit,216.28
salle,215.81
souvenir,215.41
décider,214.19
offrir,213.99
dos,213.99
fort,212.77
possible,211.96
partie,211.49
dix,209.86
l'un,208.92
arbre,208.58
compte,208.38
bleu,207.64
serrer,207.5
propre,207.5
sang,207.3
soudain,207.3
lorsque,207.09
chef,205.95
compter,203.72
plusieurs,203.58
madame,203.45
papier,203.11
travailler,202.7
remettre,202.5
lui-même,202.3
rappeler,202.23
minute,201.42
traverser,200.81
mauvais,200.61
répéter,200.14
coin,199.26
couleur,198.72
découvrir,198.18
journal,197.7
manquer,197.64
semaine,197.5
cause,197.3
fermer,197.16
oh,197.09
haut,196.76
coucher,196.22
approcher,196.15
odeur,195.68
avancer,195.0
argent,194.39
toute,194.26
oreille,194.12
effet,192.36
malgré,191.55
toucher,190.27
heureux,190.0
aussitôt,189.93
pierre,189.86
image,188.92
rencontrer,188.51
chacun,187.84
peau,187.77
pauvre,187.77
bas,187.09
jardin,185.81
laquelle,185.27
chien,184.59
permettre,184.19
type,184.19
disparaître,183.31
mouvement,182.97
certain,182.64
battre,182.36
cacher,181.89
aucun,180.95
gagner,180.88
vos,180.27
partout,179.39
journée,179.39
cheval,179.26
parole,178.31
cesser,177.77
envoyer,177.64
nez,177.64
café,177.3
cours,176.76
forme,176.69
eh,176.62
au-dessus,176.35
valoir,175.74
aucune,174.73
sac,174.26
jeu,173.31
importer,173.11
nouvelle,172.5
foutre,172.3
parmi,171.96
empêcher,171.28
tuer,171.15
bientôt,169.59
d'abord,169.32
ensuite,169.19
reste,168.58
tellement,168.51
frapper,168.31
nu,168.04
libre,167.91
lancer,165.07
fleur,164.39
fou,164.32
droit,163.72
rouler,163.45
pleurer,163.31
bonheur,162.36
ligne,162.3
installer,162.23
froid,161.69
signe,161.28
soeur,161.01
remonter,160.14
suffire,159.39
apporter,159.32
apparaître,159.26
front,159.12
hôtel,158.92
debout,158.85
aider,158.65
retour,158.65
aujourd'hui,158.24
genre,157.91
manière,157.77
ressembler,157.5
sentiment,157.3
bouger,156.76
clair,156.69
lentement,156.55
parvenir,156.42
six,156.22
pencher,155.88
oser,155.54
cri,155.41
impression,155.27
ancien,154.86
gris,154.86
vingt,154.59
habitude,154.46
passage,154.39
préparer,154.12
juste,153.45
marche,152.97
refuser,152.77
âme,151.62
pensée,151.55
maître,151.49
dame,151.35
léger,151.01
sol,150.34
payer,150.2
joie,150.2
cour,150.14
bureau,150.07
pareil,149.66
lendemain,149.26
escalier,148.85
simple,148.58
acheter,148.38
exister,148.18
robe,148.18
entier,147.91
vide,147.5
dur,146.69
armée,146.55
parent,146.35
poche,146.28
lourd,145.88
vert,145.14
doux,145.07
église,145.07
ensemble,145.07
tes,145.0
accepter,144.66
conduire,144.66
maman,144.39
vue,144.39
village,143.99
école,143.99
retenir,143.92
sec,142.84
service,142.77
remarquer,142.16
mille,142.09
ventre,141.96
goût,141.82
espèce,141.69
début,141.49
présent,141.01
fixer,140.95
couper,140.88
vérité,140.88
phrase,140.47
voyage,140.07
plaire,139.8
taire,139.8
cependant,139.73
revoir,139.46
époque,138.51
feuille,138.04
mener,137.7
endroit,137.57
embrasser,137.5
lequel,137.09
effort,136.62
chance,136.35
tandis que,136.15
accord,136.15
intérieur,135.88
saisir,135.74
présence,135.54
cuisine,135.41
cent,135.41
présenter,135.14
espérer,134.93
rejoindre,134.8
sauter,134.59
gauche,134.59
simplement,134.32
demain,134.12
boîte,134.05
choisir,133.92
annoncer,133.92
cher,133.65
couvrir,133.51
larme,133.51
préférer,133.38
éloigner,133.11
siècle,132.91
mesure,132.84
échapper,132.64
patron,132.43
ouvert,132.36
gouvernement,132.03
puisque,131.82
rapport,130.95
chat,130.74
moindre,130.27
mètre,130.07
or,130.0
quelqu'un,128.92
soldat,128.92
demeurer,128.85
rêve,128.58
abandonner,128.45
doucement,128.38
rêver,128.18
genou,127.91
oncle,127.7
éprouver,127.09
tenter,126.96
atteindre,126.76
tôt,126.76
exemple,126.62
assurer,126.55
