word,freq,rank,rel freq,log rank,log freq,log rel freq,trans
曰,4383,1,0.11875152401853206,0.0,3.6417714706539592,-0.9253608080728504,say
之,2987,2,0.08092877076051912,0.30102999566398114,3.475235222604128,-1.091897056122681,Of
不,1900,3,0.05147795930531849,0.47712125471966244,3.278753600952829,-1.2883786777739805,Do not
也,1130,4,0.030615838955268364,0.6020599913279623,3.053078443483419,-1.5140538352433897,and also
玄德,1071,5,0.029017312850524262,0.6989700043360187,3.0297894708318553,-1.5373428078949538,Xuande
人,1068,6,0.028936031862147445,0.7781512503836435,3.0285712526925375,-1.5385610260342717,people
有,1047,7,0.028367064943509712,0.8450980400142567,3.0199466816788423,-1.547185597047967,Have
我,865,8,0.023436018315316047,0.9030899869919434,2.937016107464814,-1.6301161712619952,I
而,793,9,0.0214852745942724,0.9542425094393249,2.899273187317603,-1.6678590914092055,and
此,720,10,0.01950743721043648,1.0,2.857332496431268,-1.7097997822955409,this
在,686,11,0.0185862526754992,1.041392685158225,2.836324115706751,-1.7308081630200578,exist
以,666,12,0.01804437941965374,1.0791812460476247,2.823474229170301,-1.7436580495565086,by
了,664,13,0.0179901920940692,1.1139433523068367,2.822168079368017,-1.7449641993587919,NS
吾,655,14,0.01774634912893874,1.1461280356782377,2.8162412999917827,-1.7508909787350264,I
去,611,15,0.016554227966078736,1.1760912590556811,2.786041210242554,-1.7810910684842554,go
中,586,16,0.01587688639627191,1.2041199826559246,2.7678976160180904,-1.7992346627087188,middle
是,536,17,0.014522203256658268,1.2304489213782739,2.7291647896927698,-1.8379674890340392,Yes
又,528,18,0.014305453954320084,1.2552725051033058,2.722633922533812,-1.844498356192997,again
得,517,19,0.014007423663605082,1.2787536009528289,2.7134905430939424,-1.8536417356328667,have to
可,499,20,0.01351973773334417,1.301029995663981,2.6981005456233897,-1.8690317331034196,Can
孔明,465,21,0.012598553198406892,1.322219294733919,2.6674529528899535,-1.8996793258368556,Kongming
已,437,22,0.011839930640223251,1.3424226808222062,2.6404814369704215,-1.9266508417563875,already
