word,freq,rank,rel freq,log rank,log freq,log rel freq,trans
the,4333,1,0.6867966397210334,0.0,3.636788689034374,-0.1631718383716087,the
to,4158,2,0.6590584878744651,0.30102999566398114,3.61888448499545,-0.1810760424105331,to
of,3610,3,0.5721984466634966,0.47712125471966244,3.5575072019056577,-0.24245332550032556,of
and,3577,4,0.566967823743858,0.6020599913279623,3.5535189401489693,-0.24644158725701393,and
her,2225,5,0.35267078776351246,0.6989700043360187,3.3473300153169503,-0.45263051208903304,her
i,2067,6,0.3276271992391821,0.7781512503836435,3.315340476627288,-0.4846200507786953,i
a,1947,7,0.30860675225867806,0.8450980400142567,3.2893659515200313,-0.5105945758859519,a
in,1878,8,0.29766999524488824,0.9030899869919434,3.2736955879300917,-0.5262649394758914,in
was,1847,9,0.2927563797749247,0.9542425094393249,3.266466895440241,-0.5334936319657421,was
she,1708,10,0.27072436202250755,1.0,3.232487866352986,-0.5674726610529972,she
that,1578,11,0.2501188777936281,1.041392685158225,3.198106998873401,-0.601853528532582,that
not,1540,12,0.24409573624980188,1.0791812460476247,3.1875207208364627,-0.6124398065695205,not
it,1533,13,0.24298621017593913,1.1139433523068367,3.185542154854375,-0.6144183725516084,it
you,1358,14,0.21524805832937075,1.1461280356782377,3.1328997699444825,-0.6670607574615006,you
he,1335,15,0.21160247265810747,1.1760912590556811,3.1254812657005937,-0.6744792617053894,he
his,1271,16,0.20145823426850532,1.2041199826559246,3.104145550554008,-0.6958149768519752,his
be,1239,17,0.19638611507370424,1.2304489213782739,3.0930713063760633,-0.7068892210299199,be
as,1183,18,0.18750990648280236,1.2552725051033058,3.0729847446279304,-0.7269757827780531,as
had,1177,19,0.18655888413377714,1.2787536009528289,3.070776462843434,-0.7291840645625488,had
for,1056,20,0.16737993342843557,1.301029995663981,3.0236639181977933,-0.77629660920819,for
with,1050,21,0.16642891107941038,1.322219294733919,3.021189299069938,-0.7787712283360453,with
but,997,22,0.15802821366302108,1.3424226808222062,2.9986951583116555,-0.8012653690943278,but
is,856,23,0.13567918846092883,1.3617278360175928,2.932473764677153,-0.8674867627288303,is
have,842,24,0.13346013631320336,1.380211241711606,2.925312091499649,-0.8746484359063339,have
at,788,25,0.12490093517197653,1.3979400086720375,2.896526217489555,-0.9034343099164281,at
mr,785,26,0.12442542399746394,1.414973347970818,2.8948696567452523,-0.9050908706607309,mr
him,764,27,0.12109684577587573,1.4313637641589871,2.8830933585756897,-0.9168671688302935,him
my,719,28,0.11396417815818671,1.447158031342219,2.8567288903828825,-0.9432316370231008,my
on,718,29,0.11380567443334919,1.462397997898956,2.8561244442423,-0.9438360831636831,on
’s,650,30,0.10302742114439689,1.4771212547196624,2.8129133566428552,-0.9870471707631278,’s
by,635,31,0.1006498652718339,1.4913616938342726,2.8027737252919755,-0.9971868021140078,by
elizabeth,633,32,0.10033285782215882,1.5051499783199058,2.8014037100173548,-0.9985568173886284,elizabeth
all,627,33,0.09938183547313362,1.5185139398778873,2.7972675408307164,-1.002692986575267,all
they,601,34,0.09526073862735775,1.5314789170422551,2.778874472002739,-1.0210860554032437,they
so,590,35,0.09351719765414487,1.5440680443502754,2.770852011642144,-1.0291085157638393,so
were,566,36,0.08971310825804406,1.556302500767287,2.7528164311882715,-1.047144096217712,were
which,539,37,0.08543350768743066,1.5682017240669948,2.7315887651867388,-1.0683717622192446,which
could,524,38,0.08305595181486765,1.57978359661681,2.7193312869837265,-1.0806292404222568,could
been,514,39,0.08147091456649232,1.591064607026499,2.7109631189952754,-1.0889974084107077,been
