word,freq,rank,rel freq,log rank,log freq,log rel freq,trans
de,4406,1,0.3313280192510152,0.0,3.6440444928147486,-0.479741835800623,of
la,3384,2,0.2544743570461724,0.30102999566398114,3.5294303543669856,-0.5943559742483858,the
et,2807,3,0.21108437359001353,0.47712125471966244,3.448242412634439,-0.6755439159809327,and
à,2506,4,0.1884493908858475,0.6020599913279623,3.398981066658131,-0.7248052619572406,To
le,2368,5,0.17807189050985112,0.6989700043360187,3.374381698050882,-0.7494046305644896,the
il,2332,6,0.17536471649872162,0.7781512503836435,3.367728546086976,-0.7560577825283953,he
les,2276,7,0.17115355692585352,0.8450980400142567,3.3571722577230334,-0.7666140708923382,the
l',2022,8,0.1520529402917732,0.9030899869919434,3.305781151254982,-0.8180051773603896,the'
elle,1886,9,0.14182583847195068,0.9542425094393249,3.2755416884013093,-0.8482446402140622,she
d',1743,10,0.13107234170551962,1.0,3.241297387109993,-0.8824889415053786,d '
des,1636,11,0.12302601895021807,1.041392685158225,3.213783299335304,-0.9100030292800677,from
en,1549,12,0.11648368175665513,1.0791812460476247,3.190051417759206,-0.9337349108561658,in
se,1368,13,0.10287261242292074,1.1139433523068367,3.136086097384097,-0.9877002312312744,be
une,1171,14,0.08805835463979546,1.1461280356782377,3.068556895072363,-1.0552294335430086,a
qui,1147,15,0.08625357196570912,1.1760912590556811,3.0595634179012676,-1.0642229107141041,who
dans,1138,16,0.08557677846292676,1.2041199826559246,3.056142262059052,-1.0676440665563194,in
s',1113,17,0.0836967965107535,1.2304489213782739,3.0464951643347082,-1.0772911642806633,S '
qu',962,18,0.07234170551962701,1.2552725051033058,2.9831750720378127,-1.1406112565775588,that
sa,857,19,0.06444578132049933,1.2787536009528289,2.932980821923198,-1.1908055066921734,her
son,833,20,0.062640998646413,1.301029995663981,2.9206450014067875,-1.2031413272085842,his
sur,826,21,0.06211460369980448,1.322219294733919,2.916980047320382,-1.2068062812949896,on
du,810,22,0.060911415250413596,1.3424226808222062,2.9084850188786495,-1.215301309736722,of
que,798,23,0.06000902391337043,1.3617278360175928,2.902002891350729,-1.2217834372646423,than
lui,753,24,0.05662505639945856,1.380211241711606,2.8767949762007,-1.2469913524146712,him
au,738,25,0.05549706722815461,1.3979400086720375,2.8680563618230415,-1.25572996679233,to
ne,705,26,0.05301549105128591,1.414973347970818,2.8481891169913984,-1.275597211623973,born
