word,freq,rank,rel freq,log rank,log freq,log rel freq,trans
και,4113,1,0.29589928057553955,0.0,3.6141587095091743,-0.5288560907449199,and
κι,3671,2,0.26410071942446045,0.30102999566398114,3.5647843845039864,-0.5782304157501083,too
του,2680,3,0.19280575539568345,0.47712125471966244,3.4281347940287885,-0.7148800062253061,of
ο,2376,4,0.17093525179856114,0.6020599913279623,3.3758464363091556,-0.767168363944939,The
το,2355,5,0.16942446043165468,0.6989700043360187,3.3719909114649145,-0.7710238887891799,the
να,1985,6,0.14280575539568346,0.7781512503836435,3.2977605110991335,-0.8452542891549611,to
τον,1527,7,0.10985611510791367,0.8450980400142567,3.183839037056421,-0.9591757631976738,the
τα,1507,8,0.10841726618705036,0.9030899869919434,3.1781132523146316,-0.9649015479394631,the
τους,1467,9,0.10553956834532374,0.9542425094393249,3.1664301138432824,-0.9765846864108123,their
με,1317,10,0.09474820143884892,1.0,3.1195857749617835,-1.0234290252923113,with
τ',1235,11,0.08884892086330935,1.041392685158225,3.0916669575956846,-1.0513478426584104,t
η,1172,12,0.08431654676258993,1.0791812460476247,3.0689276116820716,-1.0740871885720231,the
απ',1112,13,0.08,1.1139433523068367,3.0461047872460383,-1.0969100130080565,by
που,1096,14,0.07884892086330936,1.1461280356782377,3.0398105541483504,-1.1032042461057445,where
οι,938,15,0.0674820143884892,1.1760912590556811,2.972202838379064,-1.1708119618750303,the
μα,881,16,0.06338129496402878,1.2041199826559246,2.9449759084120477,-1.198038891842047,muck
στο,784,17,0.056402877697841726,1.2304489213782739,2.894316062684438,-1.2486987375696565,in the
την,770,18,0.05539568345323741,1.2552725051033058,2.8864907251724814,-1.2565240750816131,the
τι,756,19,0.054388489208633095,1.2787536009528289,2.8785217955012063,-1.2644930047528884,what
μου,743,20,0.05345323741007194,1.301029995663981,2.870988813760575,-1.2720259864935197,my
τη,726,21,0.05223021582733813,1.322219294733919,2.8609366207000932,-1.2820781795540013,the
έτσι,707,22,0.05086330935251798,1.3424226808222062,2.849419413796899,-1.2935953864571956,so
στα,625,23,0.044964028776978415,1.3617278360175928,2.795880017344075,-1.3471347829100198,at
θα,597,24,0.042949640287769784,1.380211241711606,2.775974331129369,-1.3670404691247258,I will
σαν,537,25,0.03863309352517986,1.3979400086720375,2.7299742856995555,-1.4130405145545393,like
της,534,26,0.03841726618705036,1.414973347970818,2.727541257028556,-1.4154735432255385,her
σου,510,27,0.03669064748201439,1.4313637641589871,2.707570176097936,-1.4354446241561585,your
είπε,504,28,0.0362589928057554,1.447158031342219,2.702430536445525,-1.4405842638085697,he said
δεν,501,29,0.0360431654676259,1.462397997898956,2.6998377258672455,-1.4431770743868493,not
αν,473,30,0.03402877697841727,1.4771212547196624,2.674861140737811,-1.4681536595162834,if
των,460,31,0.033093525179856115,1.4913616938342726,2.662757831681574,-1.4802569685725209,of
